userid,itemid,raiting,timestamp
854,270,4,882811810
887,768,4,881381471
805,117,3,881694798
529,880,4,882535304
178,331,4,882823301
854,619,2,882812376
671,222,1,883546333
758,542,2,881978495
637,151,5,882904064
887,633,5,881380584
890,516,2,882916537
877,732,4,882677898
648,926,3,882212400
854,7,4,882812352
556,318,5,882136252
31,519,4,881548053
805,172,4,881694713
705,94,4,883427857
498,185,4,881955960
758,76,3,881977265
13,862,3,882399074
806,12,5,882388204
890,1065,3,882402949
592,443,5,882956158
256,986,5,882164059
216,508,4,881432564
861,736,4,881274672
805,385,1,881694693
928,8,5,880936905
567,271,4,882426327
374,203,3,880937735
450,318,5,882373531
450,968,4,882395537
697,323,4,882621621
861,1148,3,881274913
857,475,5,883432663
465,281,2,883532120
705,222,5,883427318
887,84,4,881381114
456,697,4,881374390
301,402,2,882076915
592,60,4,882955460
705,95,4,883427640
805,45,4,881697128
456,395,2,881375542
519,903,5,883248595
671,234,4,883546890
487,392,4,883529363
450,501,4,882371416
805,412,3,881705592
454,48,4,881960114
857,348,1,883432170
487,156,4,883446027
450,307,5,882216475
705,143,3,883427663
806,95,5,882388658
805,55,5,881694693
456,824,3,881372256
6,261,3,883268522
758,603,5,881976262
442,222,3,883391221
409,1392,1,881105367
928,98,5,880936884
540,9,5,882156965
743,292,3,881277267
854,200,5,882814121
429,99,3,882386601
374,684,5,880937692
854,125,3,882813099
177,307,4,882141842
786,204,4,882843925
292,169,5,881105625
887,692,5,881380654
758,234,4,881974823
758,533,4,882055948
887,99,5,881380539
759,117,5,881476781
887,826,1,881379239
861,547,4,881274857
913,92,4,881725846
917,25,4,882911390
854,537,3,882813797
637,7,1,882903044
582,597,3,882962267
850,174,5,883195419
556,172,5,882136441
417,1057,2,880949763
637,25,4,882904537
648,14,2,882211223
652,294,2,882566890
891,934,3,883489806
116,343,2,881246552
805,546,2,881703473
877,300,3,882676366
592,467,5,882955582
566,386,1,881651375
786,708,4,882844171
913,260,1,881037229
450,713,3,882395778
887,1278,2,881378087
29,1019,4,882821989
566,443,4,881649505
442,859,3,883390169
806,28,3,882388286
13,38,3,882397974
854,604,4,882813601
218,603,4,881288234
795,1555,3,883249643
399,468,3,882344134
13,211,4,882140002
256,409,4,882163654
755,271,1,882570023
913,1112,1,882044453
589,879,4,883352654
795,576,2,883254780
301,409,4,882075242
66,284,3,883601812
887,710,5,881380709
758,462,4,881975687
870,781,3,881001249
806,155,3,882390164
705,210,5,883427988
178,511,5,882827532
256,841,2,882163857
622,280,3,882590534
145,590,1,882182802
450,188,3,882395778
887,235,3,881378537
786,66,4,882843607
928,187,5,880936884
877,402,3,882677997
894,582,4,882404485
567,89,5,882425820
887,206,5,881381471
592,747,4,882956102
178,684,5,882827019
806,1074,3,882390515
913,12,4,881366897
457,1029,3,882551135
536,568,4,882360209
854,3,1,882813047
519,1295,5,883248595
759,257,4,881476824
525,269,5,881087067
854,176,3,882813877
690,1041,3,881177804
758,238,5,881975538
622,1203,3,882669645
450,662,4,882395914
705,403,4,883428154
854,488,4,882813761
460,298,2,882912440
887,82,4,881381028
442,153,3,883388237
805,501,5,881695560
589,322,3,883352631
887,423,2,881379954
399,302,4,882340101
406,660,3,882461650
476,66,3,883364433
913,527,5,881036957
256,228,3,882164559
442,447,3,883390048
825,12,5,881101782
501,597,3,883348260
385,1449,4,881047049
854,285,4,882812165
758,705,5,881976203
749,620,4,882804506
894,83,4,882404250
454,480,4,881959652
592,482,4,882955582
710,174,4,882064283
697,118,3,882622044
894,863,5,881105162
84,318,5,883453617
256,50,4,882164443
399,222,3,882344434
622,162,3,882670389
557,682,2,881179213
706,181,4,880997105
394,252,3,881130112
301,122,2,882074818
529,343,3,882535180
806,216,4,882388128
443,260,1,883504818
825,1244,5,881185672
592,472,1,882608795
913,1240,2,881037004
890,625,3,882575104
429,65,3,882386216
758,526,4,882052744
805,655,3,881698175
710,299,3,882063612
178,628,4,882824027
671,56,1,883546120
556,340,5,882135646
567,498,4,882425966
805,631,5,881698243
637,301,1,882899527
185,178,4,883524364
566,181,2,881649985
851,343,2,883148773
301,205,4,882076046
795,42,3,881252510
854,1677,3,882814368
442,433,4,883388283
758,505,5,881979012
890,449,1,882915661
409,61,4,881109420
710,510,4,882064283
877,79,4,882678387
877,748,4,882676423
887,91,5,881380884
536,720,4,882361207
850,121,5,883195055
622,210,3,882669784
795,214,4,881265372
399,379,3,882512003
877,566,4,882678547
805,143,3,881705765
417,1230,2,880953088
890,258,3,882404055
894,1560,4,882404641
917,471,4,882911099
637,9,1,882902924
690,435,5,881177616
622,581,4,882670562
854,129,3,882812165
540,597,4,882157248
622,484,3,882669803
456,952,4,881371766
592,176,5,882956039
592,224,5,882608357
31,1022,5,881547814
744,340,3,881171820
256,381,5,882165135
536,436,3,882359883
185,845,4,883524507
374,227,4,880937876
450,389,4,882396051
450,50,5,882371415
301,233,4,882077872
890,662,3,882575303
6,531,4,883600747
622,253,3,882591047
697,595,4,882622066
829,222,4,882816987
460,1067,4,882912316
854,4,2,882814436
218,23,4,881288298
850,584,4,883195276
540,340,4,882156710
592,23,5,882955735
795,465,3,883252686
592,382,4,882956761
399,96,3,882342019
536,778,4,882359988
917,50,3,882910915
755,289,1,882569912
690,1185,1,881177778
806,1514,3,882385643
928,496,5,880936863
887,72,4,881381471
668,289,2,881523929
42,655,3,881107642
536,79,4,882359813
622,588,4,882592246
759,937,4,881476756
805,106,5,881695968
910,245,2,881420474
536,8,5,882359047
13,569,2,882396955
550,1,3,883425913
749,223,4,881602704
854,55,4,882814467
854,483,4,882813691
890,427,5,882405586
758,629,4,881978715
887,832,2,881379059
13,288,1,882396790
409,1541,4,881107992
347,926,1,881654846
465,48,3,883530313
347,418,4,881654134
758,144,4,881975267
913,237,4,881725960
450,230,4,882371732
457,371,4,882398275
487,380,2,883531466
887,1473,1,881379522
913,98,4,881725761
582,547,4,882961608
786,423,5,882843150
592,116,4,882608182
399,419,3,882343327
890,135,5,882405546
454,632,3,881960145
429,257,4,882386121
13,158,1,882142057
786,125,4,882841745
84,4,3,883453713
536,228,5,882359863
60,237,4,883327442
854,358,2,882812001
758,152,5,881975853
567,187,5,882425673
487,248,1,883443504
759,328,5,881476590
850,742,5,883195214
347,282,5,881652590
805,769,2,881695999
450,372,4,882396245
854,823,2,882813316
409,1070,4,881107410
805,225,1,881705892
178,194,4,882826306
887,871,5,881378325
877,83,3,882677085
718,405,5,883349384
556,323,2,882136058
637,244,1,882903645
592,92,5,882956358
795,568,3,883251659
758,955,2,881977021
887,410,4,881378040
887,258,1,881377893
465,528,3,883530190
592,87,4,882956467
806,82,4,882389179
690,585,2,881177970
806,153,4,882388658
450,181,4,882372103
710,180,4,882063736
637,1033,3,882904233
13,370,1,882396984
758,751,4,882597651
399,665,3,882345408
854,303,3,882811810
409,115,2,881108777
699,309,3,882000505
758,802,3,881978572
890,183,3,882404917
917,740,5,882912385
567,223,4,882426508
710,172,4,882064283
668,882,3,881523929
45,278,3,881014550
385,198,3,881128357
806,228,4,882389230
870,443,3,882123736
487,689,1,883441407
854,829,2,882813287
442,188,3,883390782
115,684,3,881171489
795,403,3,883250829
637,181,4,882902540
786,222,4,882842044
806,2,3,882389862
890,101,2,882915661
854,134,4,882813825
13,310,4,881514683
857,687,1,883432470
850,480,5,883194810
805,105,2,881705238
13,172,5,882140355
570,879,2,881262795
928,333,3,880937258
850,494,3,883195168
697,820,3,882622373
566,523,4,881649622
13,722,3,882399528
579,435,5,880952038
913,789,4,880946415
592,69,5,882956201
648,295,4,882211464
877,538,4,882676533
894,147,3,880993709
805,742,3,881695872
668,269,5,881523612
406,521,3,882480511
529,327,4,882535353
890,85,1,882917090
697,270,5,882622481
854,616,4,882813877
42,969,5,881107687
690,780,4,881177910
894,283,3,880993490
913,179,3,881368269
429,200,3,882386333
928,1007,5,880937163
571,1039,3,883354760
137,685,5,881433296
498,109,3,881955189
536,10,4,882318772
256,64,5,882164231
690,4,3,881177459
690,451,4,881177910
545,450,2,883115718
567,50,1,882426246
854,1061,1,882813421
795,1101,4,881528779
857,259,4,883432397
861,382,5,881274780
829,100,4,881086893
592,1356,4,882608915
498,663,4,881956363
529,264,2,882535820
648,291,3,882211736
409,1512,5,881106947
891,531,4,883430128
566,69,4,881650108
450,627,3,882396489
758,184,5,881974823
592,55,4,882956067
805,1017,3,881704337
566,121,3,881650755
861,83,5,881274672
894,558,5,882404250
910,23,4,881421332
409,1020,5,881107410
456,382,1,881374710
854,135,4,882813933
690,1090,3,881180138
117,132,4,881012110
854,244,3,882812826
536,94,4,882363972
890,271,3,882404055
579,520,4,880951708
476,746,3,883364295
854,93,5,882814571
637,847,3,882903191
592,71,4,882956668
890,479,5,882402238
890,515,5,882402518
13,777,1,882397084
519,333,3,883248089
851,271,5,883148692
877,170,5,882677012
758,436,3,881978572
76,955,4,882606789
498,480,5,881960523
913,144,5,880946236
622,213,5,882670009
476,732,3,883364250
795,710,3,881265617
877,269,4,882676098
861,584,5,881274815
399,39,2,882344310
476,393,4,883365135
417,780,4,880952880
529,309,3,882535353
710,234,4,882064321
498,496,3,881957905
755,872,1,882569844
637,245,3,882900047
806,496,5,882387798
742,7,3,881335492
913,82,3,881368310
185,47,4,883524249
222,588,4,881059537
806,176,5,882387798
457,121,4,882393066
913,127,4,882044440
255,328,2,883215630
582,405,3,882962133
786,133,5,882843353
637,283,2,882903822
42,132,5,881107502
259,172,4,883371882
854,257,3,882812877
795,118,2,883254314
399,225,3,882345212
457,222,5,882392853
850,181,5,883195419
592,302,5,882607325
350,181,4,882346720
567,514,5,882425701
805,383,2,881706146
742,475,4,881335492
697,591,4,882622016
566,210,4,881650030
347,106,2,881652813
115,772,4,881171273
648,250,4,882211464
652,257,2,882567356
592,325,2,882607647
13,326,3,882140792
69,334,3,882125962
374,526,4,880938965
566,11,3,881649962
566,631,4,881650605
786,102,4,882844096
460,100,5,882912418
579,69,2,880951868
622,125,3,882590457
913,430,2,882544617
913,117,1,882544673
890,435,5,882574437
854,293,5,882812102
456,405,1,881371942
806,461,4,882388706
